Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2008,Randy Wolf,- - -,190.1,89.4,84.5,,88.9,78.5,80.2,67.4,,,,976
2011,Carl Pavano,Twins,222,89.4,,81.5,89.7,,83.4,,,,,790
2012,Adam Wainwright,Cardinals,198.2,89.3,86,,90.6,84.2,,74.3,,,,2233
2014,John Danks,White Sox,193.2,89.3,84.9,,89.6,80.6,,74.1,,,,6329
2016,Dallas Keuchel,Astros,168,89.3,86.5,,89.3,80.1,78.9,77.7,,,,9434
2008,Nate Robertson,Tigers,168.2,89.3,,,88.8,82.5,82.4,74.7,,,,1620
2008,Andy Pettitte,Yankees,204,89.3,83.7,,89.4,79.9,,74.3,,,,840
2008,Bronson Arroyo,Reds,200,89.2,85.9,,88.8,80.4,,73.8,,,,978
2008,Dave Bush,Brewers,185,89.2,83.6,,89.1,82.3,,69.9,,,,4635
2010,Chris Narveson,Brewers,167.2,89.1,85.3,,,81,,74.7,,,,2141
2009,Bronson Arroyo,Reds,220.1,89.1,85.7,,88.5,80.3,,72.7,,,,978
2012,Dan Haren,Angels,176.2,89.1,85,84,89.1,,,76.6,,,,1757
2007,Ted Lilly,Cubs,207,89.1,83.3,,88.6,79.3,,71.2,,,,833
2007,Jeff Suppan,Brewers,206.2,89,84.7,81.6,88.8,,,73.1,,,,633
2010,Randy Wolf,Brewers,215.2,89,83.8,,89.1,78.6,80.7,67.6,,,,976
2008,Brandon Webb,Diamondbacks,226.2,89,85.2,,88.6,78.3,,73.7,,,,1692
2009,Jarrod Washburn,- - -,176,89,86.3,,87.9,81.9,78.8,69.5,,,,40
2010,Doug Fister,Mariners,171,89,84.5,81.7,88.8,,,74.3,,,,9425
2013,Bronson Arroyo,Reds,202,88.9,83.6,,88.3,78.5,,74.9,,,,978
2016,Kyle Hendricks,Cubs,190,88.9,,,88.2,80.6,,76.1,,,,12049
2010,Derek Lowe,Braves,193.2,88.9,86.1,,88.9,84.4,81.3,,,,,199
2016,Marco Estrada,Blue Jays,176,88.9,86.4,,,77.6,,76.7,,,,1118
2014,Eric Stults,Padres,176,88.8,,,87.7,80.3,80.9,68.7,63.9,,,8011
2010,Bronson Arroyo,Reds,215.2,88.8,85.8,,88,81,,73.6,,,,978
2016,Josh Tomlin,Indians,174,88.8,86.4,,88.5,84.2,,76.1,,,,9388
2009,John Lannan,Nationals,206.1,88.8,,,88.6,82.2,81.3,73.5,,,,7080
2012,Tommy Milone,Athletics,190,88.8,86.7,,88.3,81.5,,77,,,,7608
2012,Paul Maholm,- - -,189,88.8,83.9,,88.1,81.6,80.6,73.3,65.6,,,8678
2011,Josh Tomlin,Indians,165.1,88.7,85.1,,87.6,81.1,,74.7,,,,9388
2012,Jason Vargas,Mariners,217.1,88.7,84.7,,88.3,80.6,,76.1,,,,8044
2014,Doug Fister,Nationals,164,88.7,85.6,80,88.6,,82.6,73.4,,,,9425
2012,Jered Weaver,Angels,188.2,88.7,,,88.1,79.8,82,72,,,,4235
2011,Derek Lowe,Braves,187,88.7,85.9,,88.6,83.8,80.9,,,,,199
2011,Paul Maholm,Pirates,162.1,88.7,84.1,,88,82.3,80.2,72.9,69.4,,,8678
2009,Derek Lowe,Braves,194.2,88.6,86.8,,89.2,84.7,82.1,,,,,199
2010,Rodrigo Lopez,Diamondbacks,200,88.6,,,88.9,83,81.1,75.9,,,,150
2007,Jarrod Washburn,Mariners,193.2,88.6,,,88.4,80.7,78.8,72.6,,,,40
2016,Hisashi Iwakuma,Mariners,199,88.6,84.1,83.7,88.1,,80.5,71.2,,,,13048
2008,Greg Smith,Athletics,190.1,88.5,,,,80.2,82.8,75.4,,,,3455
2008,Scott Olsen,Marlins,201.2,88.4,,,,82.6,80.3,,,,,4529
2007,Josh Fogg,Rockies,165.2,88.4,85.4,,88.6,81,77.2,,,,,989
2014,Dan Haren,Dodgers,186,88.4,85.2,82.7,88.4,84.2,,77.9,,,,1757
2014,Jason Vargas,Royals,187,88.4,,,88.1,81.4,,75.7,,,,8044
2016,Doug Fister,Astros,180.1,88.4,84.9,79.8,87.7,79.6,82.4,71.1,,,,9425
2011,Jason Vargas,Mariners,201,88.3,84.8,,87.8,80.7,,74.7,,,,8044
2010,Dallas Braden,Athletics,192.2,88.3,84.5,,86.6,73.2,75.4,,,,66.5,8099
2011,Ted Lilly,Dodgers,192.2,88.2,83.2,,87.7,79.8,,71.1,,,,833
2009,Ted Lilly,Cubs,177,88.1,82.7,,87,78.9,,71.2,,,,833
2007,Oliver Perez,Mets,177,88.1,,,91.7,80.6,75.6,71.2,,,,1514
2012,Bronson Arroyo,Reds,202,88.1,85.4,,88,79,,74.5,,,,978
2008,John Lannan,Nationals,182,88,,,87.9,81.5,80.8,74.7,,,,7080
2008,Kenny Rogers,Tigers,173.2,88,,,82.8,78.4,80.5,74,,,,1277
2011,Bronson Arroyo,Reds,199,87.9,84.5,,87.6,79.5,,73.8,,,,978
2010,Shaun Marcum,Blue Jays,195.1,87.9,85.9,,87.6,81.4,81.8,74.4,,,,6204
2013,Eric Stults,Padres,203.2,87.8,,,84.3,78.3,79.5,67.3,,,,8011
2008,Ted Lilly,Cubs,204.2,87.8,83.3,,86.4,78.8,,70.5,,,,833
2007,Woody Williams,Astros,188,87.8,,,,80.4,84.3,75.5,,,,1190
2011,Shaun Marcum,Brewers,200.2,87.7,85,,87.1,80.1,80.6,72.4,,,,6204
2018,Kyle Hendricks,Cubs,199,87.7,,,87.1,79,,72.2,,,,12049
2010,Ted Lilly,- - -,193.2,87.5,81.7,,86.2,78.2,,71.7,,,,833
2014,Jered Weaver,Angels,213.1,87.5,,,86.5,78.2,79.9,70,,,,4235
2008,Jeff Suppan,Brewers,177.2,87.4,83.4,80.5,87.2,,,72.4,,,,633
2010,Jason Vargas,Mariners,192.2,87.4,84.3,,87.1,79.6,78.4,74.5,,,,8044
2010,Dave Bush,Brewers,174.1,87.3,81.9,,87.2,81.2,,69.1,,,,4635
2008,Mark Buehrle,White Sox,218.2,87.2,82.9,,86,79,,71.3,,,,225
