Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2008,Ubaldo Jimenez,Rockies,198.2,96.1,89.3,86.7,95.3,,85.7,75.6,,,,3374
2016,Jon Gray,Rockies,168,96.1,,,96.6,86,89.5,78.7,,,,14916
2010,Justin Verlander,Tigers,224.1,96.1,,,,86.5,87.8,80.1,,,,8700
2013,Andrew Cashner,Padres,175,96,,,95,85.2,84.4,81.4,,,,8782
2015,Danny Salazar,Indians,185,96,92.5,,94.9,86.1,86.1,80.8,,,,5867
2017,Stephen Strasburg,Nationals,175.1,96,,,,89.1,90.6,82.8,,,,10131
2008,Felix Hernandez,Mariners,200.2,96,,,95,88.1,87.6,82.6,,,,4772
2018,Reynaldo Lopez,White Sox,188.2,95.9,86.3,,94.4,84,84.1,76.1,,,,16400
2011,David Price,Rays,224.1,95.9,90,,95.5,83.8,,79.1,,,,3184
2009,Josh Johnson,Marlins,209,95.9,,,95,88.5,87.5,,,,,4567
2007,Josh Beckett,Red Sox,200.2,95.9,,,96.2,89,,78.2,,,,510
2017,Jose Urena,Marlins,169.2,95.8,,,,88.7,85.4,,,,,11589
2017,Jacob deGrom,Mets,201.1,95.8,,,95.4,88.2,89.9,81.8,,,,10954
2018,Jameson Taillon,Pirates,191,95.8,,,95.8,88.5,90.2,82.8,,,,11674
2017,Chris Archer,Rays,201,95.8,,,,86.2,89.1,,,,,6345
2011,Alexi Ogando,Rangers,169,95.8,,,94.9,86.6,82,,,,,10261
2016,Kevin Gausman,Orioles,179.2,95.8,,85.4,93.8,87.5,,80.6,,,,14107
2015,Jacob deGrom,Mets,191,95.8,,,95.4,86.2,90.3,82.3,,,,10954
2014,Chris Archer,Rays,194.2,95.8,,,95.6,87,87.1,,,,,6345
2018,German Marquez,Rockies,196,95.7,,,94.6,86.2,85.7,81.9,,,,15038
2007,Dustin McGowan,Blue Jays,169.2,95.7,,,95.7,87.4,88.5,82.1,,,,8600
2015,Carlos Carrasco,Indians,183.2,95.7,,,95,89.1,89.1,84.1,,,,6632
2014,Jeff Samardzija,- - -,219.2,95.6,93.8,86.4,95.5,,87,,,,,3254
2014,Stephen Strasburg,Nationals,215,95.6,,,95.1,88.9,87.3,80.7,,,,10131
2013,Jeff Samardzija,Cubs,213.2,95.6,92.3,84.8,95.3,,84.8,,,,,3254
2015,Chris Sale,White Sox,208.2,95.6,,,93.4,86.4,79.4,,,,,10603
2011,Justin Verlander,Tigers,251,95.6,,,,87,86.3,80,,,,8700
2017,Justin Verlander,- - -,206,95.6,,,,87.8,88.5,80.8,,,,8700
2017,Michael Wacha,Cardinals,165.2,95.6,91.2,,,88.2,,76.9,,,,14078
2010,Josh Johnson,Marlins,183.2,95.5,,,95.3,88,88.5,,,,,4567
2015,Rubby de la Rosa,Diamondbacks,188.2,95.5,,,94.2,87.2,86.4,,,,,3862
2013,Wily Peralta,Brewers,183.1,95.5,,,95.8,85.1,85.4,,,,,7738
